Context,Entropy
       Als [MASK],1.5359605261618205
      Als sie [MASK],1.4888446398584019
     Als sie mit [MASK],1.5722457764614344
    Als sie mit dem [MASK],1.4817178929014607
   Als sie mit dem geheimnisvollen [MASK],1.5948147163704516
  Als sie mit dem geheimnisvollen Brief [MASK],1.5073576594652711
 Als sie mit dem geheimnisvollen Brief  [MASK],1.5073576594652711
Als sie mit dem geheimnisvollen Brief  in [MASK],1.4883836458569273
sie mit dem geheimnisvollen Brief  in der [MASK],1.4505947519481937
mit dem geheimnisvollen Brief  in der Hand [MASK],1.3630282063282313
dem geheimnisvollen Brief  in der Hand draussen [MASK],0.824870284955923
geheimnisvollen Brief  in der Hand draussen auf [MASK],1.5411169424968432
Brief  in der Hand draussen auf dem [MASK],1.4053362683354167
 in der Hand draussen auf dem Kiesweg [MASK],1.5920587152021435
in der Hand draussen auf dem Kiesweg stand [MASK],1.5324679211621337
der Hand draussen auf dem Kiesweg stand  [MASK],1.5088769661617483
Hand draussen auf dem Kiesweg stand  überkam [MASK],1.5228810585909445
draussen auf dem Kiesweg stand  überkam sie [MASK],1.4064631245105628
auf dem Kiesweg stand  überkam sie plötzlich [MASK],1.372645086976085
dem Kiesweg stand  überkam sie plötzlich ein [MASK],1.3813141623999519
Kiesweg stand  überkam sie plötzlich ein seltsames [MASK],1.341497000629285
stand  überkam sie plötzlich ein seltsames Gefühl [MASK],0.93809659696788
 überkam sie plötzlich ein seltsames Gefühl  [MASK],1.1487374740800762
überkam sie plötzlich ein seltsames Gefühl  Sie [MASK],1.5148481299963727
sie plötzlich ein seltsames Gefühl  Sie kam [MASK],1.3056101986612763
plötzlich ein seltsames Gefühl  Sie kam sich [MASK],1.5028090245182724
ein seltsames Gefühl  Sie kam sich fast [MASK],1.3355579398302213
seltsames Gefühl  Sie kam sich fast  [MASK],1.4030544466487471
Gefühl  Sie kam sich fast  wie [MASK],1.4162717588616132
 Sie kam sich fast  wie eine [MASK],1.5476405173421752
Sie kam sich fast  wie eine Puppe [MASK],1.512219211466595
kam sich fast  wie eine Puppe vor [MASK],1.596800718317167
sich fast  wie eine Puppe vor  [MASK],0.6564065605158915
fast  wie eine Puppe vor  die [MASK],1.2746250357228253
 wie eine Puppe vor  die durch [MASK],1.3646442808101575
wie eine Puppe vor  die durch Zauberkraft [MASK],1.5849189413087954
eine Puppe vor  die durch Zauberkraft  [MASK],1.5791078416420032
Puppe vor  die durch Zauberkraft  lebendig [MASK],0.8875094958961276
vor  die durch Zauberkraft  lebendig geworden [MASK],1.0121191876385303
 die durch Zauberkraft  lebendig geworden war [MASK],0.9936764527478725
die durch Zauberkraft  lebendig geworden war  [MASK],0.9936764527478725
durch Zauberkraft  lebendig geworden war  War [MASK],1.4503668932968854
Zauberkraft  lebendig geworden war  War es [MASK],1.566429981247392
