Context,Word,Probability
        [MASK],Vielleicht,3.1735988159198314e-05
       Vielleicht [MASK],bekam,3.506756911519915e-05
      Vielleicht bekam [MASK],sie,0.01955590769648552
     Vielleicht bekam sie [MASK],ja,0.005734359845519066
    Vielleicht bekam sie ja [MASK],sogar,0.0009841592982411385
   Vielleicht bekam sie ja sogar [MASK],einen,0.027533115819096565
  Vielleicht bekam sie ja sogar einen [MASK],Pokal,0.0031629507429897785
 Vielleicht bekam sie ja sogar einen Pokal [MASK],verliehen,0.0008760283817537129
Vielleicht bekam sie ja sogar einen Pokal verliehen [MASK],für,1.2768913620675448e-05
bekam sie ja sogar einen Pokal verliehen für [MASK],die,0.012326240539550781
sie ja sogar einen Pokal verliehen für die [MASK],schönste,0.0007390874670818448
ja sogar einen Pokal verliehen für die schönste [MASK],Parzelle,3.463054781605024e-06
sogar einen Pokal verliehen für die schönste Parzelle [MASK],in,0.00026509235613048077
einen Pokal verliehen für die schönste Parzelle in [MASK],der,0.0012182156788185239
Pokal verliehen für die schönste Parzelle in der [MASK],,5.627747920455839e-11
verliehen für die schönste Parzelle in der  [MASK],Vollbart,1.5093654326392425e-07
für die schönste Parzelle in der  Vollbart [MASK],,2.2063953508677514e-07
die schönste Parzelle in der  Vollbart  [MASK],Zwar,5.335961645869247e-07
schönste Parzelle in der  Vollbart  Zwar [MASK],hatte,1.2251439329702407e-05
Parzelle in der  Vollbart  Zwar hatte [MASK],sie,0.0012320918031036854
in der  Vollbart  Zwar hatte sie [MASK],keinerlei,0.004577096551656723
der  Vollbart  Zwar hatte sie keinerlei [MASK],Erfahrung,0.004444919992238283
 Vollbart  Zwar hatte sie keinerlei Erfahrung [MASK],in,0.0005404766998253763
Vollbart  Zwar hatte sie keinerlei Erfahrung in [MASK],Gartengestaltung,2.2705151422997005e-05
 Zwar hatte sie keinerlei Erfahrung in Gartengestaltung [MASK],,1.7667573501967127e-06
Zwar hatte sie keinerlei Erfahrung in Gartengestaltung  [MASK],und,0.0005273119895718992
hatte sie keinerlei Erfahrung in Gartengestaltung  und [MASK],noch,2.3400869395118207e-05
sie keinerlei Erfahrung in Gartengestaltung  und noch [MASK],nie,0.022123122587800026
keinerlei Erfahrung in Gartengestaltung  und noch nie [MASK],in,0.0008188673527911305
Erfahrung in Gartengestaltung  und noch nie in [MASK],ihrem,8.761772187426686e-05
in Gartengestaltung  und noch nie in ihrem [MASK],Leben,0.04744984582066536
Gartengestaltung  und noch nie in ihrem Leben [MASK],irgendetwas,2.3239805159391835e-05
 und noch nie in ihrem Leben irgendetwas [MASK],angepflanzt,2.3817153760319343e-07
und noch nie in ihrem Leben irgendetwas angepflanzt [MASK],,1.3230443300926709e-06
noch nie in ihrem Leben irgendetwas angepflanzt  [MASK],aber,7.109281341399765e-06
nie in ihrem Leben irgendetwas angepflanzt  aber [MASK],ihre,0.00012832203356083483
in ihrem Leben irgendetwas angepflanzt  aber ihre [MASK],Kakteenzucht,1.7406728147761896e-06
ihrem Leben irgendetwas angepflanzt  aber ihre Kakteenzucht [MASK],auf,0.00029812107095494866
Leben irgendetwas angepflanzt  aber ihre Kakteenzucht auf [MASK],der,0.0012976882280781865
irgendetwas angepflanzt  aber ihre Kakteenzucht auf der [MASK],Fensterbank,2.150083219021326e-06
angepflanzt  aber ihre Kakteenzucht auf der Fensterbank [MASK],gedieh,1.122195726566133e-06
 aber ihre Kakteenzucht auf der Fensterbank gedieh [MASK],prächtig,5.461763521452667e-06
aber ihre Kakteenzucht auf der Fensterbank gedieh prächtig [MASK],,4.732074557978194e-06
ihre Kakteenzucht auf der Fensterbank gedieh prächtig  [MASK],Ein,4.621496373147238e-06
Kakteenzucht auf der Fensterbank gedieh prächtig  Ein [MASK],sicherer,5.727820735046407e-06
auf der Fensterbank gedieh prächtig  Ein sicherer [MASK],Beweis,4.414190334500745e-05
der Fensterbank gedieh prächtig  Ein sicherer Beweis [MASK],dafür,0.010992350988090038
Fensterbank gedieh prächtig  Ein sicherer Beweis dafür [MASK],dass,1.0429623671370791e-06
gedieh prächtig  Ein sicherer Beweis dafür dass [MASK],sie,0.009701371192932129
prächtig  Ein sicherer Beweis dafür dass sie [MASK],einen,0.0008167041814886034
 Ein sicherer Beweis dafür dass sie einen [MASK],grünen,0.00016324904572684318
Ein sicherer Beweis dafür dass sie einen grünen [MASK],Daumen,0.06470495462417603
sicherer Beweis dafür dass sie einen grünen Daumen [MASK],hatte,0.01631283573806286
Beweis dafür dass sie einen grünen Daumen hatte [MASK],,5.6198482525360305e-06
dafür dass sie einen grünen Daumen hatte  [MASK],fand,2.92561992409901e-07
dass sie einen grünen Daumen hatte  fand [MASK],sie,1.778940531949047e-05
sie einen grünen Daumen hatte  fand sie [MASK],,2.477823954905034e-06
einen grünen Daumen hatte  fand sie  [MASK],Im,2.6450893528817687e-06
grünen Daumen hatte  fand sie  Im [MASK],Übrigen,0.0008718849276192486
Daumen hatte  fand sie  Im Übrigen [MASK],gab,2.043904532911256e-05
hatte  fand sie  Im Übrigen gab [MASK],es,0.02837277390062809
 fand sie  Im Übrigen gab es [MASK],ja,0.004532455932348967
fand sie  Im Übrigen gab es ja [MASK],das,0.0009259869693778455
sie  Im Übrigen gab es ja das [MASK],Schuppen,9.052527275343891e-06
 Im Übrigen gab es ja das Schuppen [MASK],,1.709880876887837e-07
Im Übrigen gab es ja das Schuppen  [MASK],Sie,2.301842141605448e-05
Übrigen gab es ja das Schuppen  Sie [MASK],fuhr,6.954841182960081e-07
gab es ja das Schuppen  Sie fuhr [MASK],zu,0.00019993730529677123
es ja das Schuppen  Sie fuhr zu [MASK],diesem,0.0018119147280231118
ja das Schuppen  Sie fuhr zu diesem [MASK],grossen,3.1502495403401554e-05
das Schuppen  Sie fuhr zu diesem grossen [MASK],Gartencenter,0.0003292548062745482
Schuppen  Sie fuhr zu diesem grossen Gartencenter [MASK],in,0.00031542181386612356
 Sie fuhr zu diesem grossen Gartencenter in [MASK],dem,0.001148070557974279
Sie fuhr zu diesem grossen Gartencenter in dem [MASK],neuen,0.0007341627497226
